id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
38eaad9754a0a4021a78549f,Error removing account,Fel vid borttagning av kontot,GNOME-Online-Accounts-GTK,gnome-online-accounts-gtk_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,839c786d2725af85d4f61008,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/GNOME-Online-Accounts-GTK/gnome-online-accounts-gtk_sv.po,5f404a9470902238b427d83391dbab53c6d653d7150b534508a7e0c3caf38a95,{}
733120b25c2b003d78f75c5b,Online Account,Konto på nätet,GNOME-Online-Accounts-GTK,gnome-online-accounts-gtk_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a4adb83ef92ff164e3214e1a,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/GNOME-Online-Accounts-GTK/gnome-online-accounts-gtk_sv.po,5f404a9470902238b427d83391dbab53c6d653d7150b534508a7e0c3caf38a95,{}
7b583512bd5cd90a432c3bdb,Undo,Ångra,GNOME-Online-Accounts-GTK,gnome-online-accounts-gtk_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,06321195a093a479a11434a2,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/GNOME-Online-Accounts-GTK/gnome-online-accounts-gtk_sv.po,5f404a9470902238b427d83391dbab53c6d653d7150b534508a7e0c3caf38a95,{}
83a2e233ac766a2a60234d61,About,Om,GNOME-Online-Accounts-GTK,gnome-online-accounts-gtk_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,170893c95e37345037e9cbad,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/GNOME-Online-Accounts-GTK/gnome-online-accounts-gtk_sv.po,5f404a9470902238b427d83391dbab53c6d653d7150b534508a7e0c3caf38a95,{}
88c3ff2c2d2132861c3098c2,Accounts,Konton,GNOME-Online-Accounts-GTK,gnome-online-accounts-gtk_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,7675192d20b5caf39c7d69f1,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/GNOME-Online-Accounts-GTK/gnome-online-accounts-gtk_sv.po,5f404a9470902238b427d83391dbab53c6d653d7150b534508a7e0c3caf38a95,{}
a1c7792bb0de47ca9685844f,Remove Account,Ta bort konto,GNOME-Online-Accounts-GTK,gnome-online-accounts-gtk_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,226343219734a7fae21b5a96,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/GNOME-Online-Accounts-GTK/gnome-online-accounts-gtk_sv.po,5f404a9470902238b427d83391dbab53c6d653d7150b534508a7e0c3caf38a95,{}
ad92947e2b27503c33b0d7eb,Providers,Leverantörer,GNOME-Online-Accounts-GTK,gnome-online-accounts-gtk_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,a6269832f277ffd9048fee35,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/GNOME-Online-Accounts-GTK/gnome-online-accounts-gtk_sv.po,5f404a9470902238b427d83391dbab53c6d653d7150b534508a7e0c3caf38a95,{}
bc8fafd6bcce9bdf81d34d43,Online Accounts,Konton på nätet,GNOME-Online-Accounts-GTK,gnome-online-accounts-gtk_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,1364f988bd7f4141fe022b86,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/GNOME-Online-Accounts-GTK/gnome-online-accounts-gtk_sv.po,5f404a9470902238b427d83391dbab53c6d653d7150b534508a7e0c3caf38a95,{}
f2500b32e2c8a1fe52592935,Quit,Avsluta,GNOME-Online-Accounts-GTK,gnome-online-accounts-gtk_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,d84d3c5407819dd47d1f9920,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/GNOME-Online-Accounts-GTK/gnome-online-accounts-gtk_sv.po,5f404a9470902238b427d83391dbab53c6d653d7150b534508a7e0c3caf38a95,{}
