id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
175f0b63a6ea18440effac92,Example: my.number1domain.com,Exempel: min.favoritdomän1.com,Mint-Nanny,mintnanny_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,bf56e2ddb9150ecd5c354a02,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Nanny/mintnanny_sv.po,af5b48cca9ba2c6914d99774a13399380c6c72a86f23445f581dd028d8e8cf34,{}
2d5fb626d71e55eb6b3c1f02,Domain name,Domännamn,Mint-Nanny,mintnanny_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,9d53891f14971f36c5b8ca89,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Nanny/mintnanny_sv.po,af5b48cca9ba2c6914d99774a13399380c6c72a86f23445f581dd028d8e8cf34,{}
55ab6d38f2c9e0042b201ab5,Domain Blocker,Domänblockerare,Mint-Nanny,mintnanny_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,d4162092da1d4114bc7c585a,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Nanny/mintnanny_sv.po,af5b48cca9ba2c6914d99774a13399380c6c72a86f23445f581dd028d8e8cf34,{}
6c19fbb0968d9cbe5972adeb,Invalid Domain,Ogiltig domän,Mint-Nanny,mintnanny_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,6954742e29e6074f6f80322e,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Nanny/mintnanny_sv.po,af5b48cca9ba2c6914d99774a13399380c6c72a86f23445f581dd028d8e8cf34,{}
85eefd39ecca17af54e4571d,Parental Control,Föräldrakontroll,Mint-Nanny,mintnanny_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,de3603a6c4130515d1dc969c,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Nanny/mintnanny_sv.po,af5b48cca9ba2c6914d99774a13399380c6c72a86f23445f581dd028d8e8cf34,{}
9833afb2e8d3db0a4f0a02d9,Block access to selected domain names,Blockera åtkomst till valda domännamn,Mint-Nanny,mintnanny_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,8e998168a16fbb2b5e595865,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Nanny/mintnanny_sv.po,af5b48cca9ba2c6914d99774a13399380c6c72a86f23445f581dd028d8e8cf34,{}
d91f3b27039d2a33709ea53c,Blocked domains,Blockerade domäner,Mint-Nanny,mintnanny_sv.po,,Bilingual translation changed in reviewed commit: archive reviewed Swedish Linux Mint translations,project-context,0ce49a11ac1b4b70a21f5650,review-commit,https://github.com/yeager/translations/blob/87909ded511e79f2f46379e8c3e7a2722dd1c8e3/Mint-Nanny/mintnanny_sv.po,af5b48cca9ba2c6914d99774a13399380c6c72a86f23445f581dd028d8e8cf34,{}
