id,source,canonical,project,component,context,note,scope,review_id,publication_status,reference,evidence_sha256,source_evidence
2e8d7b3b5a17e20a85e11680,_Reset Current Profile,Åters_täll aktuell profil,GUFW,sv.po,,Ändrad tvåspråkig post i granskningscommit. Filformat identifierat från innehållet; kommentarsprefix normaliserat enbart för PO-läsaren.,project-context,826ecddd0ca02a5b65b2e04b,review-commit,https://github.com/yeager/translations/blob/3bd3a8b85b90c696013e95813a1a592f478ecf9d/GUFW/sv.po,7ac64e26cebb067f3e7ec33e948f4e0963a7a3785f07a78835807e4c7c48d761,{}
5e4b7cbd555252f413087719,Stream SMPlayer to ChromeCast,Strömma SMPlayer till ChromeCast,GUFW,sv.po,,Ändrad tvåspråkig post i granskningscommit. Filformat identifierat från innehållet; kommentarsprefix normaliserat enbart för PO-läsaren.,project-context,9aec71aa2876f97916e14b8d,review-commit,https://github.com/yeager/translations/blob/3bd3a8b85b90c696013e95813a1a592f478ecf9d/GUFW/sv.po,7ac64e26cebb067f3e7ec33e948f4e0963a7a3785f07a78835807e4c7c48d761,{}
